UFL,UFC,UFR,Vel_Izq,Vel_Der
2235,78,73,123,116
2206,78,75,123,116
2155,30,27,123,116
2191,79,70,123,116
2214,36,32,123,116
2166,75,79,123,116
2117,75,75,123,116
2187,27,78,123,116
2234,23,82,123,116
2258,69,86,123,116
2260,67,86,123,116
2210,65,87,123,116
2211,67,92,123,116
2098,14,46,123,116
2212,63,97,123,116
2192,63,97,123,116
2139,20,57,123,116
2134,62,67,123,116
2211,59,107,105,134
2207,58,105,138,101
2181,59,109,105,134
2186,20,68,138,101
2132,59,111,104,135
2205,59,113,120,119
2138,59,114,120,119
2224,55,117,120,119
2201,57,113,120,119
2160,55,122,120,119
2210,10,74,138,101
2191,9,72,123,116
2198,51,116,104,135
2246,55,116,120,119
2274,58,115,120,119
2238,56,117,120,119
2222,57,120,120,119
2165,58,119,120,119
2228,52,123,120,119
2231,57,118,120,119
2248,54,117,120,119
2243,61,115,120,119
2266,57,116,120,119
2218,0,67,138,101
2175,57,126,105,134
2180,52,116,120,119
2197,54,116,120,119
2144,55,115,120,119
2194,55,121,120,119
2230,54,117,120,119
2165,9,77,137,102
2174,54,107,104,135
2187,56,83,138,101
2199,55,118,105,134
2220,58,110,120,119
2215,6,70,138,101
2188,8,69,123,116
2202,53,112,113,126
2189,53,112,120,119
2162,44,117,120,119
2146,53,111,120,119
2145,57,114,120,119
2137,59,122,120,119
2041,56,122,120,119
1972,56,117,120,119
1907,44,115,120,119
1831,57,117,120,119
1682,58,116,120,119
1532,58,119,120,119
1163,55,117,101,138
766,59,124,116,123
304,60,119,116,123
170,65,119,116,123
153,61,123,116,123
83,17,85,134,105
123,73,118,101,138
120,72,122,116,123
115,80,116,116,123
114,78,117,116,123
116,88,118,116,123
111,94,119,116,123
114,102,120,116,123
109,107,119,116,123
113,113,113,116,123
119,117,117,116,123
114,130,117,116,123
112,133,119,116,123
113,138,122,116,123
109,150,123,98,141
111,152,119,113,126
111,157,123,113,126
115,169,121,113,126
114,153,124,113,126
110,161,124,113,126
111,162,118,113,126
112,159,119,113,126
112,155,122,113,126
110,162,118,113,126
114,155,117,113,126
114,157,120,113,126
114,162,122,113,126
118,153,119,113,126
115,156,117,113,126
114,166,121,113,126
114,157,117,113,126
114,177,123,113,126
115,165,126,113,126
113,161,119,113,126
112,163,122,113,126
114,155,118,113,126
104,159,112,113,126
101,154,121,113,126
106,177,123,113,126
106,210,131,113,126
106,181,131,113,126
63,115,84,148,91
114,164,124,-255,255
117,186,142,113,126
135,179,121,113,126
155,180,130,113,126
329,166,125,113,126
2441,283,226,120,120
2414,277,220,120,120
2414,278,217,120,120
2415,278,219,120,119
2413,277,217,120,119
2413,278,215,120,119
2411,277,215,120,119
2416,278,218,120,119
2416,278,215,120,119
2414,282,222,120,119
2411,279,226,-255,255
2411,279,215,134,105
2412,278,221,120,119
2414,276,218,120,119
2411,283,219,120,119
2410,278,219,120,119
2413,278,218,120,119
2417,275,219,120,119
2414,280,220,120,119
2408,277,217,120,119
2414,281,221,120,119
2416,281,217,120,119
2415,278,217,120,119
2409,278,218,120,119
2411,278,223,120,119
2411,278,220,120,119
2411,277,220,120,119
2409,280,215,120,119
2410,281,218,120,119
2413,280,222,120,119
2411,278,222,120,119
2413,278,219,120,119
2418,278,220,120,119
2413,278,217,120,119
2410,277,216,120,119
2412,277,222,120,119
2413,280,217,120,119
2411,283,222,120,119
2411,280,223,120,119
2412,278,221,120,119
2416,277,222,120,119
2414,278,217,120,119
2416,277,218,120,119
2411,277,217,120,119
2413,283,218,120,119
2410,281,221,120,119
2415,281,217,120,119
2411,278,219,120,119
2414,276,218,120,119
2411,281,219,120,119
2407,275,218,120,119
2413,280,220,120,119
2413,277,222,120,119
2412,283,217,120,119
2414,278,222,120,119
2415,279,217,120,119
2413,280,221,120,119
2417,277,220,120,119
2410,278,217,120,119
2410,276,218,120,119
2411,278,219,120,119
2412,280,218,120,119
2410,278,217,120,119
2415,278,219,120,119
2416,276,219,120,119
2413,279,220,120,119
2418,277,216,120,119
2411,279,219,120,119
2413,282,219,120,119
2416,281,218,120,119
2411,275,220,120,119
2414,282,216,120,119
2409,277,217,120,119
2412,278,217,120,119
2415,279,219,120,119
2410,279,217,120,119
2415,279,215,120,119
2412,281,215,120,119
2416,279,217,120,119
2411,278,218,120,119
2415,277,214,120,119
2414,277,220,120,119
2412,279,219,120,119
2412,277,222,120,119
2414,281,221,120,119
2412,276,216,120,119
2416,280,219,120,119
2411,283,217,120,119
2412,275,219,120,119
2416,281,218,120,119
2413,277,216,120,119
2415,281,223,120,119
2416,279,222,120,119
2414,282,217,120,119
2414,278,221,120,119
2413,280,218,120,119
2413,280,217,120,119
2413,281,218,120,119
2413,278,219,120,119
2413,277,219,120,119
2414,281,221,120,119
2413,278,221,120,119
2413,279,220,120,119
2411,279,223,120,119
2414,276,222,120,119
2415,279,214,120,119
2418,281,223,120,119
2414,282,215,120,119
2411,279,219,120,119
2412,276,221,120,119
2411,279,219,120,119
2416,282,222,120,119
2414,279,217,120,119
2413,276,221,120,119
2412,277,221,120,119
2413,280,222,120,119
2410,280,220,120,119
2413,280,219,120,119
2412,280,220,120,119
2413,276,218,120,119
2414,279,219,120,119
2409,281,217,120,119
2413,278,221,120,119
2415,281,218,120,119
2411,279,215,120,119
2412,281,218,120,119
2413,277,217,120,119
2411,279,217,120,119
2412,282,221,120,119
2410,280,222,120,119
2414,279,220,120,119
2417,282,219,120,119
2412,281,220,120,119
2415,278,220,120,119
2415,279,217,120,119
2409,280,219,120,119
2414,277,218,120,119
2414,280,221,120,119
2412,278,223,120,119
2411,281,220,120,119
2410,279,218,120,119
2415,280,216,120,119
2414,278,222,120,119
2415,282,220,120,119
2415,280,219,120,119
2414,279,222,120,119
2413,281,218,120,119
2412,279,217,120,119
2410,279,217,120,119
2409,278,221,120,119
2418,277,220,120,119
2410,278,218,120,119
2413,282,219,120,119
2416,279,223,120,119
2412,278,218,120,119
2413,282,222,120,119
2415,280,221,120,119
2410,275,220,120,119
2416,279,218,120,119
2411,278,219,120,119
2410,282,218,120,119
2410,282,217,120,119
2414,279,220,120,119
2413,278,219,120,119
2413,280,223,120,119
2411,279,225,102,137
2414,277,216,135,104
2417,278,218,120,119
2412,279,218,120,119
2411,281,220,120,119
2412,277,220,120,119
2414,277,220,120,119
2414,276,219,120,119
2416,275,216,120,119
2410,279,221,120,119
2409,278,220,120,119
2414,283,219,120,119
2414,275,219,120,119
2414,281,220,120,119
2412,277,217,120,119
2416,279,219,120,119
