UFL,UFC,UFR,Vel_Izq,Vel_Der
2556,236,123,90,79
2552,247,119,90,79
2565,258,116,90,79
2537,243,130,90,79
2579,241,118,90,79
2575,239,112,90,79
2581,258,123,90,79
2575,251,118,90,79
2567,250,110,90,79
2574,254,120,90,79
2583,235,116,90,79
2555,251,114,90,79
2568,261,131,90,79
2576,248,118,90,79
2544,248,111,90,79
2555,265,118,90,79
2544,255,128,90,79
2532,255,120,90,79
2509,242,127,90,79
2545,241,111,90,79
2521,266,107,90,79
2527,250,114,90,79
2525,291,117,90,79
2553,260,107,90,79
2549,223,118,90,79
2520,222,112,90,79
2552,238,125,90,79
2524,236,105,90,79
2523,257,130,90,79
2505,256,108,90,79
2512,254,114,90,79
2512,253,123,90,79
2497,257,120,90,79
2483,246,119,90,79
2501,240,108,90,79
2483,235,105,90,79
2478,236,116,90,79
2505,251,108,90,79
2442,237,108,90,79
2461,228,102,90,79
2420,247,111,90,79
2458,244,122,90,79
2465,260,121,90,79
2425,259,116,90,79
2486,248,118,90,79
2443,241,125,90,79
2442,257,114,90,79
2420,246,115,90,79
2446,238,100,90,79
2408,245,112,90,79
2427,229,106,90,79
2439,237,114,90,79
2398,232,119,90,79
2442,239,118,90,79
2395,208,106,83,86
2463,191,110,88,81
2436,169,106,88,81
2459,165,101,88,81
2482,151,108,88,81
2514,133,117,88,81
2440,127,114,88,81
2466,130,116,88,81
2431,115,141,88,81
2409,121,141,88,81
2397,128,170,80,89
2399,119,170,85,84
2377,130,183,85,84
2369,124,188,85,84
2372,121,182,85,84
2365,120,183,85,84
2383,119,186,85,84
2382,117,188,85,84
2377,117,180,85,84
2323,126,188,85,84
2287,122,200,85,84
2123,125,186,85,84
1629,109,194,85,84
482,133,199,78,91
212,127,186,83,86
183,131,195,83,86
183,126,190,83,86
192,125,190,83,86
190,138,186,83,86
188,165,192,83,86
186,180,182,83,86
186,204,196,83,86
184,211,181,83,86
180,232,189,75,94
187,235,191,80,89
182,233,184,80,89
179,246,177,80,89
174,259,191,80,89
183,264,193,80,89
187,254,180,80,89
174,253,200,80,89
179,251,189,80,89
180,245,183,80,89
178,259,194,80,89
209,243,188,80,89
329,259,178,80,89
1272,272,185,80,89
272,264,189,80,89
200,284,197,80,89
185,247,187,80,89
182,230,187,80,89
174,272,185,80,89
193,273,182,80,89
181,271,195,80,89
178,251,184,80,89
188,244,180,80,89
174,252,189,80,89
193,235,184,80,89
188,226,183,80,89
181,232,179,80,89
184,234,198,80,89
190,233,179,80,89
171,206,190,88,81
170,209,194,83,86
178,207,195,83,86
179,187,185,83,86
185,174,188,83,86
177,168,177,83,86
174,141,181,83,86
187,152,199,83,86
191,135,190,83,86
192,135,199,83,86
191,120,192,83,86
217,126,178,83,86
254,118,194,83,86
406,134,199,83,86
1079,122,190,83,86
1605,124,179,90,79
1997,107,199,85,84
2166,121,190,85,84
2258,126,188,85,84
2333,121,182,85,84
2323,133,178,85,84
2383,116,194,85,84
2425,118,179,85,84
2409,133,189,85,84
2436,111,184,85,84
2460,119,180,85,84
2462,127,182,85,84
2428,126,197,85,84
2438,129,202,85,84
2461,121,204,85,84
2499,124,194,85,84
2453,124,198,85,84
2473,122,187,85,84
2486,119,183,85,84
2459,131,191,85,84
2469,129,210,85,84
2475,132,191,85,84
2484,126,195,85,84
2483,136,186,85,84
2465,111,184,85,84
2457,121,190,85,84
2448,133,187,85,84
2467,125,186,85,84
2523,109,207,85,84
2505,117,203,85,84
2439,120,198,85,84
2409,131,188,85,84
2391,119,195,85,84
2404,110,197,85,84
2425,113,186,85,84
2444,114,190,85,84
2390,120,191,85,84
2402,130,171,85,84
2411,119,182,85,84
2376,116,174,85,84
2266,135,187,85,84
2185,119,173,85,84
2318,131,160,85,84
2416,117,169,85,84
2368,128,170,85,84
2489,135,157,85,84
2426,115,165,85,84
2306,119,163,85,84
2235,120,154,93,76
2226,119,158,80,89
2160,127,148,93,76
2230,123,159,80,89
2273,122,160,85,84
2206,131,165,85,84
2413,125,151,93,76
2278,116,151,88,81
2354,124,167,80,89
2411,120,161,85,84
2448,119,163,85,84
2520,117,155,85,84
2405,120,143,93,76
2406,137,164,80,89
2523,130,156,85,84
2501,129,168,85,84
2608,129,168,85,84
2602,126,172,85,84
2428,117,186,85,84
2517,119,170,85,84
2433,130,160,85,84
2423,133,178,85,84
2456,134,185,85,84
2498,125,181,85,84
2537,116,194,85,84
2573,116,193,85,84
2506,117,191,85,84
2574,116,251,85,84
2618,114,217,85,84
2596,130,226,85,84
2562,125,236,85,84
2527,133,214,85,84
2509,125,202,85,84
2523,122,209,85,84
2534,133,186,85,84
2528,114,196,85,84
2563,118,187,85,84
2540,118,184,85,84
2506,123,199,85,84
2466,122,204,85,84
2453,121,197,85,84
2425,119,203,85,84
2451,124,186,85,84
2447,113,205,85,84
2405,122,189,85,84
2417,135,189,85,84
2423,108,197,85,84
2410,120,186,85,84
2229,116,187,85,84
2085,123,193,85,84
1690,125,198,85,84
1114,108,201,78,91
259,123,194,83,86
210,119,209,83,86
198,113,209,83,86
196,132,199,83,86
178,118,197,83,86
182,126,204,83,86
175,134,203,83,86
180,126,202,83,86
178,137,198,83,86
176,139,186,83,86
172,159,203,83,86
176,171,204,83,86
180,182,199,83,86
170,192,198,83,86
177,191,193,83,86
180,213,197,83,86
183,242,203,75,94
189,478,198,80,89
190,295,199,80,89
189,275,197,80,89
177,238,181,80,89
180,258,183,80,89
175,239,184,80,89
173,254,201,80,89
181,250,175,80,89
179,246,200,80,89
187,235,186,80,89
188,251,194,80,89
184,242,186,80,89
176,238,180,80,89
188,250,175,80,89
187,247,188,80,89
236,251,200,80,89
774,261,188,80,89
1355,252,181,80,89
439,251,194,80,89
208,251,180,80,89
190,250,188,80,89
189,249,204,80,89
183,251,188,80,89
199,242,196,80,89
182,264,195,80,89
175,259,185,80,89
188,239,182,80,89
186,252,194,80,89
190,259,184,80,89
182,261,182,80,89
184,239,179,80,89
186,238,186,80,89
173,242,180,80,89
168,238,187,80,89
190,231,194,80,89
187,231,179,80,89
183,220,182,80,89
177,217,178,80,89
182,200,176,88,81
182,206,175,83,86
181,205,175,83,86
183,183,183,83,86
191,175,187,83,86
184,171,184,83,86
184,169,194,83,86
179,157,182,83,86
181,149,177,83,86
182,144,193,83,86
175,126,189,83,86
180,124,184,83,86
189,139,185,83,86
195,137,175,83,86
182,126,190,83,86
193,120,194,83,86
197,137,180,83,86
220,114,202,83,86
234,122,203,83,86
270,126,185,83,86
649,121,193,83,86
1136,134,194,83,86
1487,124,188,90,79
1800,123,180,85,84
2067,109,200,85,84
2194,118,183,85,84
2261,106,189,85,84
2291,122,186,85,84
2300,120,196,85,84
2307,126,182,85,84
2334,108,193,85,84
2361,122,192,85,84
2362,121,189,85,84
2362,120,197,85,84
2359,111,195,85,84
2397,126,183,85,84
2394,123,181,85,84
2427,116,201,85,84
2472,118,189,85,84
